name,province,district,price_vnd_night,price_tier,rating_score,review_count,source
A89 Rosarian Hotel,Ha Noi,"My Dinh,Hanoi",711702.0,mid_range,8.8,137.0,agoda.com
"My Dinh,Hanoi - View on map",Ha Noi,"My Dinh,Hanoi",,unknown,,,agoda.com
Excellent,Ha Noi,,711702.0,mid_range,8.8,137.0,agoda.com
"₫ 711,702",Ha Noi,,711702.0,mid_range,,,agoda.com
La Casa Di Dicembre 18 Hang Chao,Ha Noi,"Ba Dinh,Hanoi",,unknown,8.6,199.0,agoda.com
"Ba Dinh,Hanoi - View on map",Ha Noi,"Ba Dinh,Hanoi",,unknown,,,agoda.com
Signature by M Village Thợ Nhuộm,Ha Noi,"Hoan Kiem District,Hanoi",2710941.0,premium,9.2,1246.0,agoda.com
"Hoan Kiem District,Hanoi - View on map",Ha Noi,"Hoan Kiem District,Hanoi",,unknown,,,agoda.com
Exceptional,Ha Noi,,2710941.0,premium,9.2,1246.0,agoda.com
"₫ 2,710,941",Ha Noi,,2710941.0,premium,,,agoda.com
Fuji hotel and apartment - Near the train street,Ha Noi,"Dong Da,Hanoi",483891.0,budget,9.2,35.0,agoda.com
"Dong Da,Hanoi - View on map",Ha Noi,"Dong Da,Hanoi",,unknown,,,agoda.com
"₫ 483,891",Ha Noi,,483891.0,budget,,,agoda.com
Hanoi Capsule Station Hostel,Ha Noi,"Dong Xuan Market,Hanoi",148919.0,budget,7.7,80.0,agoda.com
"Dong Xuan Market,Hanoi - View on map",Ha Noi,"Dong Xuan Market,Hanoi",,unknown,,,agoda.com
Very good,Ha Noi,,148919.0,budget,7.7,80.0,agoda.com
"₫ 148,919",Ha Noi,,148919.0,budget,,,agoda.com
M Village Hotel Thợ Nhuộm,Ha Noi,"Hoan Kiem District,Hanoi",2147063.0,premium,9.3,380.0,agoda.com
"₫ 2,147,063",Ha Noi,,2147063.0,premium,,,agoda.com
Madelise Hanoi View Hotel,Ha Noi,"Dong Da,Hanoi",1032394.0,mid_range,8.8,810.0,agoda.com
"₫ 1,032,394",Ha Noi,,1032394.0,mid_range,,,agoda.com
"₫ 416,469",Ha Noi,,416469.0,budget,,,agoda.com
Hanoi Backpackers Lodge,Ha Noi,"Dong Xuan Market,Hanoi",178233.0,budget,8.1,88.0,agoda.com
"₫ 178,233",Ha Noi,,178233.0,budget,,,agoda.com
Starlight Hotel Hanoi,Ha Noi,"Old Quarter,Hanoi",819463.0,mid_range,6.7,46.0,agoda.com
"Old Quarter,Hanoi - View on map",Ha Noi,"Old Quarter,Hanoi",,unknown,,,agoda.com
"₫ 819,463",Ha Noi,,819463.0,mid_range,,,agoda.com
Grandma Lu's Saigon Signature,Ho Chi Minh,"District 1,Ho Chi Minh City",404354.0,budget,8.1,1803.0,agoda.com
"District 1,Ho Chi Minh City - View on map",Ho Chi Minh,"District 1,Ho Chi Minh City",,unknown,,,agoda.com
Excellent,Ho Chi Minh,,404354.0,budget,8.1,1803.0,agoda.com
"₫ 404,354",Ho Chi Minh,,404354.0,budget,,,agoda.com
Grandma Lu's Saigon Japan Town,Ho Chi Minh,"District 1,Ho Chi Minh City",431657.0,budget,8.5,1748.0,agoda.com
"₫ 431,657",Ho Chi Minh,,431657.0,budget,,,agoda.com
Bay Hotel Ho Chi Minh,Ho Chi Minh,"District 1,Ho Chi Minh City",2892152.0,premium,8.3,4390.0,agoda.com
The staff is super friendly and one day we overslept the breakfast and even though it was already closed they prepared a breakfast for us.,Ho Chi Minh,,,unknown,,,agoda.com
"₫ 2,892,152",Ho Chi Minh,,2892152.0,premium,,,agoda.com
Funny Guesthouse,Ho Chi Minh,"District 1,Ho Chi Minh City",134053.0,budget,8.5,110.0,agoda.com
"The only disappointment we had was that we were not given the ròom we had booked and instead were put in an hotel opposite. While the room was nice and newly decorated it was smaller and did not have the kitchenette of the booked room. Please Funny Guesthouse, do not do this to your guests.""",Ho Chi Minh,,,unknown,,,agoda.com
"₫ 134,053",Ho Chi Minh,,134053.0,budget,,,agoda.com
Dyn Opera Hotel,Ho Chi Minh,"District 1,Ho Chi Minh City",1322149.0,mid_range,7.4,2304.0,agoda.com
"I’ll definitely stay here when coming back to Vietnam.""",Ho Chi Minh,,,unknown,,,agoda.com
Very good,Ho Chi Minh,,1322149.0,mid_range,7.4,2304.0,agoda.com
"₫ 1,322,149",Ho Chi Minh,,1322149.0,mid_range,,,agoda.com
Capsule Riverside Saigon,Ho Chi Minh,"District 1,Ho Chi Minh City",342024.0,budget,8.5,1347.0,agoda.com
"₫ 342,024",Ho Chi Minh,,342024.0,budget,,,agoda.com
"Wink Saigon Centre, Unscripted by Hyatt - 24 hours stay",Ho Chi Minh,"District 1,Ho Chi Minh City",3023966.0,premium,8.8,5504.0,agoda.com
"₫ 3,023,966",Ho Chi Minh,,3023966.0,premium,,,agoda.com
MEANDER Saigon,Ho Chi Minh,"District 1,Ho Chi Minh City",2299125.0,premium,9.2,2791.0,agoda.com
Show more,Ho Chi Minh,,,unknown,,,agoda.com
Exceptional,Ho Chi Minh,,2299125.0,premium,9.2,2791.0,agoda.com
"₫ 2,299,125",Ho Chi Minh,,2299125.0,premium,,,agoda.com
Roseland Sweet Hotel,Ho Chi Minh,"District 1,Ho Chi Minh City",2400777.0,premium,9.2,4766.0,agoda.com
Despite the hotel being very central me and my husband both said how quiet it was at night which made for a good night's sleep.,Ho Chi Minh,,,unknown,,,agoda.com
"₫ 2,400,777",Ho Chi Minh,,2400777.0,premium,,,agoda.com
The Triple Hostel,Ho Chi Minh,"District 1,Ho Chi Minh City",331139.0,budget,9.1,188.0,agoda.com
"₫ 331,139",Ho Chi Minh,,331139.0,budget,,,agoda.com
S Phuot Da Nang Hostel,Da Nang,"Phước Mỹ,Da Nang",265297.0,budget,7.7,213.0,agoda.com
"Phước Mỹ,Da Nang - View on map",Da Nang,"Phước Mỹ,Da Nang",,unknown,,,agoda.com
Very good,Da Nang,,265297.0,budget,7.7,213.0,agoda.com
"₫ 265,297",Da Nang,,265297.0,budget,,,agoda.com
Golden Lotus Grand Da Nang,Da Nang,"Phước Mỹ,Da Nang",3899745.0,premium,9.3,6543.0,agoda.com
Exceptional,Da Nang,,3899745.0,premium,9.3,6543.0,agoda.com
"₫ 3,899,745",Da Nang,,3899745.0,premium,,,agoda.com
New Orient Hotel Da Nang,Da Nang,"Hải Châu,Da Nang",2170722.0,premium,9.2,6836.0,agoda.com
"Hải Châu,Da Nang - View on map",Da Nang,"Hải Châu,Da Nang",,unknown,,,agoda.com
Show more,Da Nang,,,unknown,,,agoda.com
"₫ 2,170,722",Da Nang,,2170722.0,premium,,,agoda.com
Da Nang Capsule Hotel,Da Nang,"An Hai Bac,Da Nang",487753.0,budget,,761.0,agoda.com
"An Hai Bac,Da Nang - View on map",Da Nang,"An Hai Bac,Da Nang",,unknown,,,agoda.com
"All staffs are super nice, helpful, good English speaking, really welcoming! And it is really VERY cheap! Highly recommend every traveller should try this capsule HOTEL in Da Nang!""",Da Nang,,,unknown,,,agoda.com
Excellent,Da Nang,,487753.0,budget,,761.0,agoda.com
"₫ 487,753",Da Nang,,487753.0,budget,,,agoda.com
T 26 Hotel - City center peaceful by the Han River,Da Nang,"Hải Châu,Da Nang",909139.0,mid_range,7.7,55.0,agoda.com
"₫ 909,139",Da Nang,,909139.0,mid_range,,,agoda.com
Brown Bean Hotel - 2/9 Street,Da Nang,"Hải Châu,Da Nang",376964.0,budget,,2120.0,agoda.com
"₫ 376,964",Da Nang,,376964.0,budget,,,agoda.com
Gold Time Hotel,Da Nang,"Phước Mỹ,Da Nang",848715.0,mid_range,7.1,1330.0,agoda.com
"₫ 848,715",Da Nang,,848715.0,mid_range,,,agoda.com
Radisson RED Danang,Da Nang,"Phước Mỹ,Da Nang",3061364.0,premium,8.9,373.0,agoda.com
"₫ 3,061,364",Da Nang,,3061364.0,premium,,,agoda.com
The Light House Da Nang,Da Nang,"Phước Mỹ,Da Nang",,unknown,8.7,215.0,agoda.com
Central Hotel & Spa Danang,Da Nang,"Hải Châu,Da Nang",912343.0,mid_range,8.4,1998.0,agoda.com
"However, water pressure was quite low during my stay. Everything else was good. Would recommend!""",Da Nang,,,unknown,,,agoda.com
"₫ 912,343",Da Nang,,912343.0,mid_range,,,agoda.com
1995S Hostel,Hue,"Hue City,Hue",1840532.0,premium,8.9,50.0,agoda.com
"Hue City,Hue - View on map",Hue,"Hue City,Hue",,unknown,,,agoda.com
Excellent,Hue,,1840532.0,premium,8.9,50.0,agoda.com
"₫ 1,840,532",Hue,,1840532.0,premium,,,agoda.com
Sahi Homestay Retreat,Hue,"Perfume River,Hue",751119.0,mid_range,,332.0,agoda.com
"Perfume River,Hue - View on map",Hue,"Perfume River,Hue",,unknown,,,agoda.com
Exceptional,Hue,,751119.0,mid_range,,332.0,agoda.com
"₫ 751,119",Hue,,751119.0,mid_range,,,agoda.com
Hachi Homestay Spa,Hue,"Perfume River,Hue",1247710.0,mid_range,8.6,212.0,agoda.com
