province,month,month_name,avg_temp_c,rain_mm,humidity_pct,rain_days,source
Ho Chi Minh,1,Jan,16.2,59.0,76.0,6.0,climate-data.org
Ho Chi Minh,2,Feb,16.4,59.0,76.0,5.0,climate-data.org
Ho Chi Minh,3,Mar,15.3,64.0,77.0,6.0,climate-data.org
Ho Chi Minh,4,Apr,13.4,79.0,79.0,7.0,climate-data.org
Ho Chi Minh,5,May,11.8,79.0,79.0,8.0,climate-data.org
Ho Chi Minh,6,Jun,9.9,99.0,79.0,9.0,climate-data.org
Ho Chi Minh,7,Jul,9.0,92.0,78.0,10.0,climate-data.org
Ho Chi Minh,8,Aug,9.2,91.0,80.0,10.0,climate-data.org
Ho Chi Minh,9,Sep,10.3,77.0,79.0,9.0,climate-data.org
Ho Chi Minh,10,Oct,11.4,88.0,79.0,8.0,climate-data.org
Ho Chi Minh,11,Nov,12.8,71.0,76.0,7.0,climate-data.org
Ho Chi Minh,12,Dec,14.8,68.0,78.0,7.0,climate-data.org
Da Nang,1,Jan,-11.9,51.0,83.0,10.0,climate-data.org
Da Nang,2,Feb,-10.8,41.0,81.0,8.0,climate-data.org
Da Nang,3,Mar,-4.2,46.0,81.0,8.0,climate-data.org
Da Nang,4,Apr,3.2,40.0,74.0,6.0,climate-data.org
Da Nang,5,May,12.0,56.0,64.0,8.0,climate-data.org
Da Nang,6,Jun,17.0,72.0,67.0,9.0,climate-data.org
Da Nang,7,Jul,19.8,69.0,67.0,9.0,climate-data.org
Da Nang,8,Aug,17.5,70.0,71.0,9.0,climate-data.org
Da Nang,9,Sep,11.6,67.0,76.0,9.0,climate-data.org
Da Nang,10,Oct,4.1,71.0,79.0,10.0,climate-data.org
Da Nang,11,Nov,-3.5,59.0,83.0,9.0,climate-data.org
Da Nang,12,Dec,-9.4,53.0,84.0,10.0,climate-data.org
Hue,1,Jan,3.4,90.0,84.0,10.0,climate-data.org
Hue,2,Feb,3.8,75.0,80.0,9.0,climate-data.org
Hue,3,Mar,7.1,72.0,75.0,9.0,climate-data.org
Hue,4,Apr,10.5,81.0,71.0,9.0,climate-data.org
Hue,5,May,14.2,85.0,72.0,10.0,climate-data.org
Hue,6,Jun,18.1,69.0,68.0,9.0,climate-data.org
Hue,7,Jul,20.0,64.0,64.0,8.0,climate-data.org
Hue,8,Aug,19.8,59.0,66.0,8.0,climate-data.org
Hue,9,Sep,16.3,68.0,71.0,7.0,climate-data.org
